project,pipeline_id,pipeline_iid,branch,status,sha,created_at,started_at,finished_at,duration_seconds,queued_duration_seconds,compile_job_status,compile_job_duration,compile_job_started,compile_job_finished,test_job_status,test_job_duration,test_job_started,test_job_finished,compile_failed,test_failed,compile_cancelled,test_cancelled,stuck,stuck_reason,commit_title,commit_message,duration_minutes,issue_number
A01,5871,7,feature/issue-1-us-01-place-fleet-on-a-conceal,success,1daf9ef38b755ed559b1c8c0020ae1734ae5687c,2025-10-12T02:47:14.732Z,2025-10-12T02:47:17.960Z,2025-10-12T02:47:34.183Z,12.0,3.0,success,5.031431,2025-10-12T02:47:17.784Z,2025-10-12T02:47:22.816Z,success,7.913061,2025-10-12T02:47:26.039Z,2025-10-12T02:47:33.952Z,False,False,False,False,False,,docs: add Planning Agent report for project analysis,docs: add Planning Agent report for project analysis,0.2,unknown
A01,5872,8,feature/issue-1-us-01-place-fleet-on-a-conceal,success,631e7ab6968c3e44b9338d3a7e346eb804891238,2025-10-12T02:47:47.490Z,2025-10-12T02:47:49.288Z,2025-10-12T02:48:05.307Z,12.0,1.0,success,4.733049,2025-10-12T02:47:49.150Z,2025-10-12T02:47:53.883Z,success,7.931514,2025-10-12T02:47:57.070Z,2025-10-12T02:48:05.002Z,False,False,False,False,False,,feat: Add Coordinate model class for board positions,feat: Add Coordinate model class for board positions,0.2,unknown
A01,5873,9,feature/issue-1-us-01-place-fleet-on-a-conceal,success,fc5ef9f374c37fe2df8ea584c1f609e9eb24a94a,2025-10-12T02:48:44.307Z,2025-10-12T02:48:47.433Z,2025-10-12T02:49:03.263Z,12.0,3.0,success,4.882129,2025-10-12T02:48:47.257Z,2025-10-12T02:48:52.139Z,success,7.727932,2025-10-12T02:48:55.346Z,2025-10-12T02:49:03.074Z,False,False,False,False,False,,feat: Add Ship model class with placement validation,feat: Add Ship model class with placement validation,0.2,unknown
A01,5874,10,feature/issue-1-us-01-place-fleet-on-a-conceal,success,6b3eb15eb9583ee0cddca508956958859fd25228,2025-10-12T02:49:57.845Z,2025-10-12T02:50:00.501Z,2025-10-12T02:50:16.690Z,12.0,2.0,success,5.005023,2025-10-12T02:50:00.334Z,2025-10-12T02:50:05.339Z,success,7.982701,2025-10-12T02:50:08.498Z,2025-10-12T02:50:16.481Z,False,False,False,False,False,,feat: Add Board model class with ship placement and shot tracking,feat: Add Board model class with ship placement and shot tracking,0.2,unknown
A01,5875,11,feature/issue-1-us-01-place-fleet-on-a-conceal,success,6bf3aefdb6b5f0aa04c1eecd1af7878120b7edfb,2025-10-12T02:50:31.535Z,2025-10-12T02:50:34.840Z,2025-10-12T02:50:51.087Z,12.0,3.0,success,4.988944,2025-10-12T02:50:34.687Z,2025-10-12T02:50:39.676Z,success,7.995668,2025-10-12T02:50:42.886Z,2025-10-12T02:50:50.882Z,False,False,False,False,False,,feat: Add Player model class with board management,feat: Add Player model class with board management,0.2,unknown
A01,5876,12,feature/issue-1-us-01-place-fleet-on-a-conceal,success,bd9071997d3b21d3f24c4a7e9d6411955235c4b3,2025-10-12T02:51:33.303Z,2025-10-12T02:51:36.234Z,2025-10-12T02:51:52.338Z,12.0,2.0,success,4.916169,2025-10-12T02:51:36.080Z,2025-10-12T02:51:40.996Z,success,7.967364,2025-10-12T02:51:44.172Z,2025-10-12T02:51:52.140Z,False,False,False,False,False,,feat: Add Game model class for game state management,feat: Add Game model class for game state management,0.2,unknown
A01,5877,13,feature/issue-1-us-01-place-fleet-on-a-conceal,success,da505c46ca9035aca54df0c5f578d80a6fc625db,2025-10-12T02:52:36.893Z,2025-10-12T02:52:40.468Z,2025-10-12T02:52:56.847Z,13.0,3.0,success,4.869481,2025-10-12T02:52:40.318Z,2025-10-12T02:52:45.187Z,success,8.271832,2025-10-12T02:52:48.399Z,2025-10-12T02:52:56.671Z,False,False,False,False,False,,feat: Add GameService for game operations and business logic,feat: Add GameService for game operations and business logic,0.22,unknown
A01,5878,14,feature/issue-1-us-01-place-fleet-on-a-conceal,success,50febd2b06dd0e652563ac3a0f74c50593e3cd49,2025-10-12T02:53:32.958Z,2025-10-12T02:53:36.011Z,2025-10-12T02:53:52.382Z,13.0,3.0,success,5.086888,2025-10-12T02:53:35.865Z,2025-10-12T02:53:40.952Z,success,8.034598,2025-10-12T02:53:44.147Z,2025-10-12T02:53:52.181Z,False,False,False,False,False,,feat: Add InputUtil for user input validation and parsing,feat: Add InputUtil for user input validation and parsing,0.22,unknown
A01,5879,15,feature/issue-1-us-01-place-fleet-on-a-conceal,success,f408a35477e14d033e6408f13dcceba3afe8a1a8,2025-10-12T02:55:02.387Z,2025-10-12T02:55:04.510Z,2025-10-12T02:55:21.108Z,13.0,2.0,success,5.255676,2025-10-12T02:55:04.361Z,2025-10-12T02:55:09.617Z,success,8.13956,2025-10-12T02:55:12.787Z,2025-10-12T02:55:20.927Z,False,False,False,False,False,,feat: Add DisplayUtil for board rendering and game information,feat: Add DisplayUtil for board rendering and game information,0.22,unknown
A01,5880,16,feature/issue-1-us-01-place-fleet-on-a-conceal,canceled,5a5370e95a6fbe77d8c276b89098a682cbec88c0,2025-10-12T02:56:22.483Z,2025-10-12T02:56:24.325Z,2025-10-12T03:20:17.345Z,1429.0,1.0,success,5.195366,2025-10-12T02:56:24.158Z,2025-10-12T02:56:29.353Z,canceled,1424.672451,2025-10-12T02:56:32.551Z,2025-10-12T03:20:17.223Z,False,False,False,True,True,test_timeout,feat: Update Main.java with CLI interface for ship placement,feat: Update Main.java with CLI interface for ship placement,23.82,unknown
A01,5881,17,feature/issue-1-us-01-place-fleet-on-a-conceal,canceled,ff9071168d173c6f44f4668fcb844414e9ebc425,2025-10-12T02:57:29.827Z,,2025-10-12T03:00:57.198Z,,,canceled,,,2025-10-12T03:00:56.725Z,canceled,,,2025-10-12T03:00:56.761Z,False,False,True,True,False,,docs: Add Coding Agent report for Issue #1 implementation,docs: Add Coding Agent report for Issue #1 implementation,,unknown
A01,5882,18,feature/issue-1-us-01-place-fleet-on-a-conceal,canceled,56684d0bef2ba4e40d3d9d29456e50a74177baa9,2025-10-12T03:00:56.038Z,,2025-10-12T03:02:18.178Z,,,canceled,,,2025-10-12T03:02:17.457Z,canceled,,,2025-10-12T03:02:17.527Z,False,False,True,True,False,,test: add comprehensive tests for Coordinate class,test: add comprehensive tests for Coordinate class,,unknown
A01,5883,19,feature/issue-1-us-01-place-fleet-on-a-conceal,canceled,5aa092bea75dbcb5fe6b2e6a77abcdc209ac7aef,2025-10-12T03:02:16.845Z,,2025-10-12T03:04:10.599Z,,,canceled,,,2025-10-12T03:04:10.088Z,canceled,,,2025-10-12T03:04:10.128Z,False,False,True,True,False,,test: add comprehensive tests for Ship class,test: add comprehensive tests for Ship class,,unknown
A01,5884,20,feature/issue-1-us-01-place-fleet-on-a-conceal,canceled,59e7a33a0c57cbb0bc89a60e49b3d0aa4343c9c3,2025-10-12T03:04:09.440Z,,2025-10-12T03:05:55.647Z,,,canceled,,,2025-10-12T03:05:55.084Z,canceled,,,2025-10-12T03:05:55.154Z,False,False,True,True,False,,test: add comprehensive tests for Board class,test: add comprehensive tests for Board class,,unknown
A01,5885,21,feature/issue-1-us-01-place-fleet-on-a-conceal,canceled,3e54635452cd5a40a176dd08e36befd1ce707237,2025-10-12T03:05:54.321Z,,2025-10-12T03:07:24.991Z,,,canceled,,,2025-10-12T03:07:24.497Z,canceled,,,2025-10-12T03:07:24.567Z,False,False,True,True,False,,test: add acceptance criteria validation tests for Issue #1,test: add acceptance criteria validation tests for Issue #1,,unknown
A01,5886,22,feature/issue-1-us-01-place-fleet-on-a-conceal,canceled,d7cc79094c99360a41f23820613e14a29f19d9d7,2025-10-12T03:07:23.833Z,,2025-10-12T03:09:17.455Z,,,canceled,,,2025-10-12T03:09:16.973Z,canceled,,,2025-10-12T03:09:17.018Z,False,False,True,True,False,,test: add comprehensive tests for Player class,test: add comprehensive tests for Player class,,unknown
A01,5887,23,feature/issue-1-us-01-place-fleet-on-a-conceal,canceled,3259b6b26e4480020ec7dbbf971ac9c97b43fc98,2025-10-12T03:09:16.279Z,,2025-10-12T03:10:41.418Z,,,canceled,,,2025-10-12T03:10:40.932Z,canceled,,,2025-10-12T03:10:40.982Z,False,False,True,True,False,,test: add comprehensive tests for GameService class,test: add comprehensive tests for GameService class,,unknown
A01,5888,24,feature/issue-1-us-01-place-fleet-on-a-conceal,failed,ddfe3786c4631e4b81588d9dd929e06a02c0298e,2025-10-12T03:10:40.304Z,2025-10-12T03:25:39.786Z,2025-10-12T03:25:55.987Z,10.0,899.0,success,4.493152,2025-10-12T03:25:39.612Z,2025-10-12T03:25:44.105Z,failed,6.059205,2025-10-12T03:25:49.742Z,2025-10-12T03:25:55.801Z,False,True,False,False,False,,docs: add Testing Agent report for Issue #1,docs: add Testing Agent report for Issue #1,0.17,unknown
