project,branch,total_pipelines,success_count,failed_count,canceled_count,success_rate,failure_rate,cancellation_rate,compile_failures,test_failures,compile_cancellations,test_cancellations,stuck_pipelines,median_duration_sec,mean_duration_sec,max_duration_sec,min_duration_sec,first_pipeline_date,last_pipeline_date,issue_number,primary_problem,problem_severity
B01,feature/issue-1-us-01-setting-ships-somewhere-,47,15,32,0,31.91,68.09,0.0,5,27,0,0,0,12.0,19.19,197,4,2025-10-14T22:26:38.680Z,2025-10-14T23:22:56.580Z,unknown,FREQUENT_FAILURES,MEDIUM
B01,feature/issue-2-us-02-alternating-shooting-wit,33,7,26,0,21.21,78.79,0.0,1,25,0,0,1,18.0,182.33,5296,4,2025-10-14T23:26:13.116Z,2025-10-15T00:24:16.178Z,unknown,TEST_FAILURES,HIGH
B01,feature/issue-3-us-03-ship-damage-announcing-s,30,14,16,0,46.67,53.33,0.0,2,14,0,0,1,12.0,42.13,614,4,2025-10-15T00:25:51.176Z,2025-10-15T01:26:50.841Z,unknown,FREQUENT_FAILURES,MEDIUM
B01,feature/issue-4-us-04-playing-alone-against-th,38,9,29,0,23.68,76.32,0.0,9,20,0,0,2,12.0,123.0,3707,4,2025-10-15T01:33:40.171Z,2025-10-15T03:00:05.973Z,unknown,FREQUENT_FAILURES,MEDIUM
B01,feature/issue-5-us-05-saving-and-restoring-the,11,10,1,0,90.91,9.09,0.0,1,0,0,0,0,13.0,17.55,70,4,2025-10-15T03:04:55.088Z,2025-10-15T03:14:54.392Z,unknown,NONE,LOW
B01,master,13,12,1,0,92.31,7.69,0.0,1,0,0,0,1,14.0,548.85,6853,11,2025-10-14T22:18:09.892Z,2025-10-15T03:02:55.736Z,master,NONE,LOW
B02,feature/issue-1-us-01-setting-ships-somewhere-,33,10,23,0,30.3,69.7,0.0,2,21,0,0,1,12.0,199.09,5938,10,2025-10-15T03:44:09.612Z,2025-10-15T04:36:11.194Z,unknown,FREQUENT_FAILURES,MEDIUM
B02,feature/issue-2-us-02-alternating-shooting-wit,19,4,5,10,21.05,26.32,52.63,0,5,8,10,6,3760.0,3128.18,7362,12,2025-10-15T04:38:31.437Z,2025-10-15T05:15:05.824Z,unknown,FREQUENT_CANCELLATIONS,MEDIUM
B02,feature/issue-3-us-03-ship-damage-announcing-s,24,1,18,5,4.17,75.0,20.83,6,12,5,5,11,4008.0,3131.53,6697,4,2025-10-15T05:29:43.985Z,2025-10-15T06:56:56.954Z,unknown,FREQUENT_FAILURES,MEDIUM
B02,feature/issue-4-us-04-playing-alone-against-th,40,1,31,8,2.5,77.5,20.0,9,22,8,8,9,10.0,1411.38,7094,4,2025-10-15T07:00:12.005Z,2025-10-15T08:07:37.406Z,unknown,FREQUENT_FAILURES,MEDIUM
B02,feature/issue-5-us-05-saving-and-restoring-the,26,5,10,11,19.23,38.46,42.31,2,8,11,11,0,12.0,28.07,205,4,2025-10-15T08:08:50.613Z,2025-10-15T08:58:45.298Z,unknown,FREQUENT_CANCELLATIONS,MEDIUM
B02,master,10,10,0,0,100.0,0.0,0.0,0,0,0,0,0,12.5,18.6,47,11,2025-10-15T03:02:35.171Z,2025-10-15T09:01:43.099Z,master,NONE,LOW
B03,feature/issue-1-us-01-setting-ships-somewhere-,42,7,23,12,16.67,54.76,28.57,8,15,6,12,7,23.0,1068.92,6823,4,2025-10-15T12:16:36.869Z,2025-10-15T13:40:00.902Z,unknown,FREQUENT_FAILURES,MEDIUM
B03,feature/issue-2-us-02-alternating-shooting-wit,34,8,8,18,23.53,23.53,52.94,3,5,13,18,6,10.0,1349.95,6427,3,2025-10-15T13:41:10.500Z,2025-10-15T14:38:01.758Z,unknown,FREQUENT_CANCELLATIONS,MEDIUM
B03,feature/issue-3-us-03-ship-damage-announcing-s,25,0,3,22,0.0,12.0,88.0,1,2,18,22,10,6096.0,5559.5,9569,406,2025-10-15T14:39:21.594Z,2025-10-15T15:41:00.374Z,unknown,TEST_TIMEOUTS,HIGH
B03,feature/issue-4-us-04-playing-alone-against-th,23,0,4,19,0.0,17.39,82.61,2,2,19,19,4,5709.0,4862.75,7144,889,2025-10-15T15:50:21.703Z,2025-10-15T16:41:51.040Z,unknown,TEST_TIMEOUTS,HIGH
B03,feature/issue-5-us-05-saving-and-restoring-the,23,3,7,13,13.04,30.43,56.52,2,5,13,13,3,213.0,1240.5,6519,14,2025-10-15T16:53:49.627Z,2025-10-15T17:53:06.739Z,unknown,FREQUENT_CANCELLATIONS,MEDIUM
B03,master,5,5,0,0,100.0,0.0,0.0,0,0,0,0,0,11.0,18.8,50,11,2025-10-15T12:09:38.219Z,2025-10-15T12:15:18.994Z,master,NONE,LOW
B04,feature/issue-1-us-01-setting-ships-somewhere-,18,16,2,0,88.89,11.11,0.0,2,0,0,0,1,12.0,421.44,7120,11,2025-10-15T19:07:52.201Z,2025-10-15T19:29:52.116Z,unknown,NONE,LOW
B04,feature/issue-2-us-02-alternating-shooting-wit,48,8,40,0,16.67,83.33,0.0,6,34,0,0,0,12.0,13.52,121,4,2025-10-15T19:33:49.930Z,2025-10-15T20:32:04.207Z,unknown,TEST_FAILURES,HIGH
B04,feature/issue-3-us-03-ship-damage-announcing-s,40,11,29,0,27.5,72.5,0.0,4,25,0,0,2,12.0,272.73,5962,4,2025-10-15T20:34:32.626Z,2025-10-15T21:38:06.733Z,unknown,FREQUENT_FAILURES,MEDIUM
B04,feature/issue-4-us-04-playing-alone-against-th,24,9,15,0,37.5,62.5,0.0,6,9,0,0,1,12.0,218.38,5024,3,2025-10-15T21:40:13.201Z,2025-10-15T22:24:50.291Z,unknown,FREQUENT_FAILURES,MEDIUM
B04,feature/issue-5-us-05-saving-and-restoring-the,53,9,43,1,16.98,81.13,1.89,5,38,0,1,1,12.0,167.89,8335,4,2025-10-15T22:26:32.754Z,2025-10-15T23:42:46.372Z,unknown,TEST_FAILURES,HIGH
B04,master,16,16,0,0,100.0,0.0,0.0,0,0,0,0,1,12.5,58.06,675,11,2025-10-15T19:02:34.386Z,2025-10-15T23:42:02.595Z,master,NONE,LOW
B05,feature/issue-1-us-01-setting-ships-somewhere-,15,6,3,6,40.0,20.0,40.0,1,2,5,6,4,13.0,1412.45,6607,12,2025-10-19T01:52:03.309Z,2025-10-19T02:08:23.427Z,unknown,FREQUENT_CANCELLATIONS,MEDIUM
B05,feature/issue-2-us-02-alternating-shooting-wit,20,0,10,10,0.0,50.0,50.0,1,9,7,10,7,739.0,2562.62,7164,5,2025-10-19T02:17:08.383Z,2025-10-19T03:15:56.835Z,unknown,FREQUENT_CANCELLATIONS,MEDIUM
B05,feature/issue-3-us-03-ship-damage-announcing-s,8,0,3,5,0.0,37.5,62.5,0,3,5,5,3,6184.0,6349.33,6956,5908,2025-10-19T03:18:28.964Z,2025-10-19T03:36:38.968Z,unknown,FREQUENT_CANCELLATIONS,MEDIUM
B05,feature/issue-4-us-04-playing-alone-against-th,27,0,20,7,0.0,74.07,25.93,2,18,7,7,1,12.0,61.0,750,4,2025-10-19T03:39:22.148Z,2025-10-19T05:06:29.748Z,unknown,FREQUENT_FAILURES,MEDIUM
B05,feature/issue-5-us-05-saving-and-restoring-the,28,0,24,4,0.0,85.71,14.29,15,9,4,4,10,5.0,2507.5,7602,4,2025-10-19T05:08:22.583Z,2025-10-19T07:32:54.839Z,unknown,COMPILE_FAILURES,MEDIUM
B05,master,10,5,4,1,50.0,40.0,10.0,0,4,1,1,4,16.0,2556.67,7040,11,2025-10-19T01:46:50.191Z,2025-10-19T07:11:44.974Z,master,FREQUENT_FAILURES,MEDIUM
B06,feature/issue-1-us-01-setting-ships-somewhere-,29,5,8,16,17.24,27.59,55.17,2,6,14,16,9,411.5,2484.78,8930,4,2025-10-19T21:04:22.763Z,2025-10-19T21:48:21.298Z,unknown,FREQUENT_CANCELLATIONS,MEDIUM
B06,feature/issue-2-us-02-alternating-shooting-wit,22,0,2,20,0.0,9.09,90.91,0,2,13,20,8,2638.5,3153.8,6786,69,2025-10-19T21:49:40.668Z,2025-10-19T22:42:23.006Z,unknown,TEST_TIMEOUTS,HIGH
B06,feature/issue-3-us-03-ship-damage-announcing-s,29,0,5,24,0.0,17.24,82.76,3,2,15,24,9,648.0,3887.18,10239,59,2025-10-19T22:54:37.340Z,2025-10-19T23:58:24.224Z,unknown,TEST_TIMEOUTS,HIGH
B06,feature/issue-4-us-04-playing-alone-against-th,11,7,1,3,63.64,9.09,27.27,1,0,1,3,2,13.0,976.27,9584,13,2025-10-19T23:59:30.726Z,2025-10-20T01:11:40.766Z,unknown,MIXED_ISSUES,MEDIUM
B06,master,5,5,0,0,100.0,0.0,0.0,0,0,0,0,0,12.0,25.0,50,11,2025-10-19T20:58:35.290Z,2025-10-19T21:03:14.424Z,master,NONE,LOW
