project,branch,total_pipelines,success_count,failed_count,canceled_count,success_rate,failure_rate,cancellation_rate,compile_failures,test_failures,compile_cancellations,test_cancellations,stuck_pipelines,median_duration_sec,mean_duration_sec,max_duration_sec,min_duration_sec,first_pipeline_date,last_pipeline_date,issue_number,primary_problem,problem_severity
B07,feature/issue-4-us-04-playing-alone-against-th,26,0,5,21,0.0,19.23,80.77,1,4,7,21,15,962.0,3076.79,8770,4,2025-10-20T04:03:24.692Z,2025-10-20T05:12:19.089Z,unknown,STUCK_PIPELINES,CRITICAL
B06,feature/issue-2-us-02-alternating-shooting-wit,22,0,2,20,0.0,9.09,90.91,0,2,13,20,8,2638.5,3153.8,6786,69,2025-10-19T21:49:40.668Z,2025-10-19T22:42:23.006Z,unknown,TEST_TIMEOUTS,HIGH
B03,feature/issue-3-us-03-ship-damage-announcing-s,25,0,3,22,0.0,12.0,88.0,1,2,18,22,10,6096.0,5559.5,9569,406,2025-10-15T14:39:21.594Z,2025-10-15T15:41:00.374Z,unknown,TEST_TIMEOUTS,HIGH
B06,feature/issue-3-us-03-ship-damage-announcing-s,29,0,5,24,0.0,17.24,82.76,3,2,15,24,9,648.0,3887.18,10239,59,2025-10-19T22:54:37.340Z,2025-10-19T23:58:24.224Z,unknown,TEST_TIMEOUTS,HIGH
B03,feature/issue-4-us-04-playing-alone-against-th,23,0,4,19,0.0,17.39,82.61,2,2,19,19,4,5709.0,4862.75,7144,889,2025-10-15T15:50:21.703Z,2025-10-15T16:41:51.040Z,unknown,TEST_TIMEOUTS,HIGH
B07,feature/issue-2-us-02-alternating-shooting-wit,26,0,5,21,0.0,19.23,80.77,3,2,13,21,10,4372.0,3489.92,7462,60,2025-10-20T02:01:00.687Z,2025-10-20T02:50:57.156Z,unknown,TEST_TIMEOUTS,HIGH
B10,feature/issue-3-us-03-ship-damage-announcing-s,44,0,36,8,0.0,81.82,18.18,3,33,8,8,3,73.5,520.39,6529,11,2025-10-21T14:31:40.757Z,2025-10-21T23:12:05.187Z,unknown,TEST_FAILURES,HIGH
B09,feature/issue-2-us-02-alternating-shooting-wit,49,5,39,5,10.2,79.59,10.2,2,37,5,5,4,12.0,447.89,6418,12,2025-10-21T01:24:38.089Z,2025-10-21T02:27:27.585Z,unknown,TEST_FAILURES,HIGH
B04,feature/issue-5-us-05-saving-and-restoring-the,53,9,43,1,16.98,81.13,1.89,5,38,0,1,1,12.0,167.89,8335,4,2025-10-15T22:26:32.754Z,2025-10-15T23:42:46.372Z,unknown,TEST_FAILURES,HIGH
B01,feature/issue-2-us-02-alternating-shooting-wit,33,7,26,0,21.21,78.79,0.0,1,25,0,0,1,18.0,182.33,5296,4,2025-10-14T23:26:13.116Z,2025-10-15T00:24:16.178Z,unknown,TEST_FAILURES,HIGH
B04,feature/issue-2-us-02-alternating-shooting-wit,48,8,40,0,16.67,83.33,0.0,6,34,0,0,0,12.0,13.52,121,4,2025-10-15T19:33:49.930Z,2025-10-15T20:32:04.207Z,unknown,TEST_FAILURES,HIGH
