project,pipeline_id,pipeline_iid,branch,status,sha,created_at,started_at,finished_at,duration_seconds,queued_duration_seconds,compile_job_status,compile_job_duration,compile_job_started,compile_job_finished,test_job_status,test_job_duration,test_job_started,test_job_finished,compile_failed,test_failed,compile_cancelled,test_cancelled,stuck,stuck_reason,commit_title,commit_message,duration_minutes,issue_number
B01,7147,6,feature/issue-1-us-01-setting-ships-somewhere-,success,2c7afea50efec3c803a229e0f04086824c74310f,2025-10-14T22:26:38.680Z,2025-10-14T22:26:42.607Z,2025-10-14T22:27:35.717Z,48.0,3.0,success,26.792957,2025-10-14T22:26:42.458Z,2025-10-14T22:27:09.251Z,success,21.481485,2025-10-14T22:27:14.061Z,2025-10-14T22:27:35.543Z,False,False,False,False,False,,docs: add Planning Agent report for project analysis,docs: add Planning Agent report for project analysis,0.8,unknown
B01,7148,7,feature/issue-1-us-01-setting-ships-somewhere-,success,8c8f0beda35fbaea86b32e54a622c0de81338a91,2025-10-14T22:27:08.113Z,2025-10-14T22:27:09.635Z,2025-10-14T22:27:43.768Z,12.0,1.0,success,4.453039,2025-10-14T22:27:09.413Z,2025-10-14T22:27:13.866Z,success,7.86406,2025-10-14T22:27:35.709Z,2025-10-14T22:27:43.573Z,False,False,False,False,False,,feat: Add Coordinate model class for board positions,feat: Add Coordinate model class for board positions,0.2,unknown
B01,7149,8,feature/issue-1-us-01-setting-ships-somewhere-,success,02f1ee7c6cda89c01b35376f601e32e5f0e41a7c,2025-10-14T22:27:40.102Z,2025-10-14T22:27:44.015Z,2025-10-14T22:28:00.055Z,12.0,3.0,success,5.017401,2025-10-14T22:27:43.777Z,2025-10-14T22:27:48.794Z,success,7.882412,2025-10-14T22:27:51.986Z,2025-10-14T22:27:59.868Z,False,False,False,False,False,,feat: Add Ship model class with placement and hit tracking,feat: Add Ship model class with placement and hit tracking,0.2,unknown
B01,7150,9,feature/issue-1-us-01-setting-ships-somewhere-,success,37e56ac115c79820919e8f27e4512ec2c56d6d4d,2025-10-14T22:28:19.340Z,2025-10-14T22:28:21.210Z,2025-10-14T22:28:37.201Z,12.0,1.0,success,4.857042,2025-10-14T22:28:21.068Z,2025-10-14T22:28:25.925Z,success,7.903674,2025-10-14T22:28:29.118Z,2025-10-14T22:28:37.022Z,False,False,False,False,False,,feat: Add Board model class with ship placement validation,feat: Add Board model class with ship placement validation,0.2,unknown
B01,7151,10,feature/issue-1-us-01-setting-ships-somewhere-,success,b3f3bcb6f35917a3967c80ec044462252e2063f0,2025-10-14T22:28:46.310Z,2025-10-14T22:28:49.372Z,2025-10-14T22:29:05.577Z,12.0,3.0,success,4.918683,2025-10-14T22:28:49.208Z,2025-10-14T22:28:54.127Z,success,8.048213,2025-10-14T22:28:57.284Z,2025-10-14T22:29:05.332Z,False,False,False,False,False,,feat: Add Player model class with ship placement management,feat: Add Player model class with ship placement management,0.2,unknown
B01,7152,11,feature/issue-1-us-01-setting-ships-somewhere-,success,78973ef5d677101aeb952949301ef7c88cd75686,2025-10-14T22:29:20.386Z,2025-10-14T22:29:23.707Z,2025-10-14T22:29:39.868Z,12.0,3.0,success,4.903803,2025-10-14T22:29:23.535Z,2025-10-14T22:29:28.439Z,success,8.067747,2025-10-14T22:29:31.620Z,2025-10-14T22:29:39.688Z,False,False,False,False,False,,feat: Add Game model class with game state management,feat: Add Game model class with game state management,0.2,unknown
B01,7153,12,feature/issue-1-us-01-setting-ships-somewhere-,success,a4c157d393990aeab62c0ec655ae01281b1441b3,2025-10-14T22:29:37.023Z,2025-10-14T22:29:40.093Z,2025-10-14T22:29:56.150Z,12.0,3.0,success,4.852938,2025-10-14T22:29:39.850Z,2025-10-14T22:29:44.703Z,success,8.040538,2025-10-14T22:29:47.923Z,2025-10-14T22:29:55.964Z,False,False,False,False,False,,feat: Add GameConstants utility class for game configuration,feat: Add GameConstants utility class for game configuration,0.2,unknown
B01,7154,13,feature/issue-1-us-01-setting-ships-somewhere-,success,bb16db6970331e1642d4715c5ea7b5366a21dd85,2025-10-14T22:30:13.885Z,2025-10-14T22:30:17.316Z,2025-10-14T22:30:33.591Z,13.0,3.0,success,4.903786,2025-10-14T22:30:17.156Z,2025-10-14T22:30:22.060Z,success,8.138376,2025-10-14T22:30:25.241Z,2025-10-14T22:30:33.379Z,False,False,False,False,False,,feat: Add GameService for ship placement operations,feat: Add GameService for ship placement operations,0.22,unknown
B01,7155,14,feature/issue-1-us-01-setting-ships-somewhere-,success,6d535a30d3291da7316fa882b1508e85e7082d6f,2025-10-14T22:30:46.546Z,2025-10-14T22:30:48.723Z,2025-10-14T22:31:05.186Z,13.0,2.0,success,4.998745,2025-10-14T22:30:48.573Z,2025-10-14T22:30:53.572Z,success,8.026121,2025-10-14T22:30:56.763Z,2025-10-14T22:31:04.790Z,False,False,False,False,False,,feat: Add GameController for coordinating game operations,feat: Add GameController for coordinating game operations,0.22,unknown
B01,7156,15,feature/issue-1-us-01-setting-ships-somewhere-,failed,2b128a954e249fc14b39c6feea228a7fcf468199,2025-10-14T22:30:59.040Z,2025-10-14T22:31:05.265Z,2025-10-14T22:31:09.479Z,4.0,6.0,failed,4.194705,2025-10-14T22:31:04.964Z,2025-10-14T22:31:09.159Z,skipped,,,,True,False,False,False,False,,feat: Update Main.java as entry point for battleship game,feat: Update Main.java as entry point for battleship game,0.07,unknown
