Projekt,Branch/Issue,n (Pipelines),Median (min),Mittelwert (min),Stdabw (min),Min (min),Max (min)
A01,Issue #1,11,0.20,2.35,7.12,0.17,23.82
A01,Issue #2,9,0.17,51.02,76.32,0.17,157.77
A01,Issue #3,1,137.42,137.42,0.00,137.42,137.42
A01,Issue #4,1,0.07,0.07,0.00,0.07,0.07
A01,Issue #5,5,0.07,0.06,0.01,0.05,0.07
A01,Master,8,0.18,17.99,50.33,0.18,142.55
A02,Issue #1,34,0.20,0.24,0.15,0.07,0.78
A02,Issue #2,17,10.10,42.98,52.17,0.07,127.05
A02,Issue #3,16,40.38,52.67,56.94,0.07,170.48
A02,Issue #4,8,94.22,90.07,18.22,62.47,110.15
A02,Issue #5,9,70.20,51.71,51.55,0.07,123.92
A02,Master,6,0.58,15.21,35.87,0.18,88.42
A03,Issue #1,26,0.20,0.20,0.13,0.07,0.80
A03,Issue #2,35,0.17,0.13,0.06,0.07,0.22
A03,Issue #3,16,0.20,0.19,0.04,0.07,0.22
A03,Issue #4,16,0.20,0.21,0.01,0.20,0.22
A03,Master,14,0.22,0.25,0.16,0.18,0.82
A04,Issue #1,25,0.20,0.22,0.12,0.18,0.80
A04,Issue #2,65,0.20,0.20,0.02,0.07,0.22
A04,Issue #3,26,0.20,0.18,0.04,0.07,0.20
A04,Issue #4,35,0.20,0.19,0.02,0.17,0.22
A04,Issue #5,25,0.20,0.15,0.07,0.07,0.22
A04,Master,14,0.20,0.25,0.17,0.18,0.83
A05,Issue #1,20,0.20,0.22,0.14,0.07,0.78
A05,Issue #2,35,0.20,0.19,0.03,0.07,0.22
A05,Issue #3,57,0.20,0.19,0.04,0.07,0.22
A05,Issue #4,12,0.22,31.38,47.34,0.20,108.80
A05,Issue #5,1,0.12,0.12,0.00,0.12,0.12
A05,Master,18,0.18,0.22,0.14,0.18,0.77
A06,Issue #1,20,0.88,33.68,47.25,0.17,111.90
A06,Issue #2,28,0.69,43.57,51.60,0.17,135.75
A06,Issue #3,17,0.37,53.80,65.42,0.17,152.95
A06,Issue #4,27,0.22,26.02,46.76,0.07,149.05
A06,Issue #5,21,0.35,36.88,44.54,0.07,118.78
A06,Master,6,0.20,11.74,28.27,0.18,69.45
A07,Issue #1,21,3.23,40.32,47.81,0.20,117.60
A07,Issue #2,10,84.80,66.59,46.45,0.42,115.63
A07,Issue #3,22,0.17,31.01,42.55,0.07,114.55
A07,Issue #4,28,0.22,21.29,39.89,0.05,119.37
A07,Issue #5,14,71.71,55.76,41.86,0.33,104.50
A07,Master,7,0.18,0.35,0.35,0.18,1.12
A08,Issue #1,28,0.20,3.45,16.88,0.07,89.58
A08,Issue #2,22,0.20,4.71,20.98,0.18,98.65
A08,Issue #3,46,0.20,0.20,0.15,0.07,1.15
A08,Issue #4,19,0.20,0.79,2.44,0.17,10.83
A08,Issue #5,28,0.20,0.26,0.19,0.20,1.08
A08,Master,11,0.20,0.29,0.21,0.18,0.78
A09,Issue #1,29,0.20,7.09,24.07,0.18,105.75
A09,Issue #2,58,0.17,6.64,30.33,0.07,202.02
A09,Issue #3,2,43.62,43.62,60.59,0.78,86.47
A09,Issue #4,22,0.34,9.03,27.60,0.15,118.08
A09,Issue #5,11,1.47,36.77,49.11,0.17,109.55
A09,Master,7,0.22,0.43,0.30,0.18,0.82
A10,Issue #1,48,0.18,0.70,2.13,0.07,10.88
A10,Issue #2,20,0.20,0.25,0.21,0.17,1.15
A10,Issue #3,72,0.20,2.57,13.75,0.07,90.18
A10,Issue #4,62,0.20,4.28,20.41,0.07,114.80
A10,Issue #5,8,0.23,0.54,0.89,0.22,2.75
A10,Master,7,0.22,1.77,3.73,0.18,10.18
