branch_name,issue,first_activity,last_activity,development_duration_seconds,development_duration_days,development_duration_hours,total_pipelines,mr_state,mr_created_at,merged_at,project
feature/issue-1-us-01-setting-ships-somewhere-,Issue #1,2025-10-14 22:26:38.680000+00:00,2025-10-14 23:22:56.580000+00:00,3377.90,0.04,0.94,47,valid_merge,2025-10-14 23:02:10.126000+00:00,2025-10-14 23:15:44.623000+00:00,B01
feature/issue-2-us-02-alternating-shooting-wit,Issue #2,2025-10-14 23:26:13.116000+00:00,2025-10-15 00:24:16.178000+00:00,3483.06,0.04,0.97,33,opened,2025-10-14 23:51:23.035000+00:00,,B01
feature/issue-3-us-03-ship-damage-announcing-s,Issue #3,2025-10-15 00:25:51.176000+00:00,2025-10-15 01:31:16.165000+00:00,3924.99,0.05,1.09,30,valid_merge,2025-10-15 01:02:37.328000+00:00,2025-10-15 01:31:16.165000+00:00,B01
feature/issue-4-us-04-playing-alone-against-th,Issue #4,2025-10-15 01:33:40.171000+00:00,2025-10-15 03:00:05.973000+00:00,5185.80,0.06,1.44,38,valid_merge,2025-10-15 02:17:43.646000+00:00,2025-10-15 02:51:32.133000+00:00,B01
feature/issue-5-us-05-saving-and-restoring-the,Issue #5,2025-10-15 03:04:55.088000+00:00,2025-10-15 03:14:54.392000+00:00,599.30,0.01,0.17,11,no_mr,,,B01
feature/issue-1-us-01-setting-ships-somewhere-,Issue #1,2025-10-15 03:44:09.612000+00:00,2025-10-15 04:36:11.194000+00:00,3121.58,0.04,0.87,33,valid_merge,2025-10-15 04:25:34.862000+00:00,2025-10-15 04:31:08.385000+00:00,B02
feature/issue-2-us-02-alternating-shooting-wit,Issue #2,2025-10-15 04:38:31.437000+00:00,2025-10-15 05:15:05.824000+00:00,2194.39,0.03,0.61,19,opened,2025-10-15 04:53:55.941000+00:00,,B02
feature/issue-3-us-03-ship-damage-announcing-s,Issue #3,2025-10-15 05:29:43.985000+00:00,2025-10-15 06:56:56.954000+00:00,5232.97,0.06,1.45,24,opened,2025-10-15 06:05:23.734000+00:00,,B02
feature/issue-4-us-04-playing-alone-against-th,Issue #4,2025-10-15 07:00:12.005000+00:00,2025-10-15 08:07:37.406000+00:00,4045.40,0.05,1.12,40,opened,2025-10-15 07:24:42.167000+00:00,,B02
feature/issue-5-us-05-saving-and-restoring-the,Issue #5,2025-10-15 08:08:50.613000+00:00,2025-10-15 08:58:45.298000+00:00,2994.68,0.03,0.83,26,valid_merge,2025-10-15 08:39:01.670000+00:00,2025-10-15 08:52:25.459000+00:00,B02
feature/issue-1-us-01-setting-ships-somewhere-,Issue #1,2025-10-15 12:16:36.869000+00:00,2025-10-15 13:40:00.902000+00:00,5004.03,0.06,1.39,42,opened,2025-10-15 12:37:16.369000+00:00,,B03
