project,issue,compile_rate,test_rate,final_coverage,cov_trend,last_compile_status,last_test_status,mr_state,branch_name
B01,Issue #1,89.36,31.91,29.62,8.57,success,success,valid_merge,feature/issue-1-us-01-setting-ships-somewhere-
B01,Issue #2,96.97,21.21,19.82,-9.80,success,failed,opened,feature/issue-2-us-02-alternating-shooting-wit
B01,Issue #3,93.33,46.67,37.87,8.25,success,success,valid_merge,feature/issue-3-us-03-ship-damage-announcing-s
B01,Issue #4,76.32,23.68,39.20,1.33,success,success,valid_merge,feature/issue-4-us-04-playing-alone-against-th
B01,Issue #5,90.91,90.91,35.82,-3.38,failed,skipped,no_mr,feature/issue-5-us-05-saving-and-restoring-the
B02,Issue #1,93.94,30.30,88.76,8.76,success,success,valid_merge,feature/issue-1-us-01-setting-ships-somewhere-
B02,Issue #2,57.89,21.05,65.19,-23.57,success,failed,opened,feature/issue-2-us-02-alternating-shooting-wit
B02,Issue #3,54.17,4.17,88.76,0.00,success,failed,opened,feature/issue-3-us-03-ship-damage-announcing-s
B02,Issue #4,57.50,2.50,88.76,0.00,success,failed,opened,feature/issue-4-us-04-playing-alone-against-th
B02,Issue #5,50.00,19.23,86.86,-1.90,success,success,valid_merge,feature/issue-5-us-05-saving-and-restoring-the
B03,Issue #1,66.67,16.67,1.75,-18.25,success,failed,opened,feature/issue-1-us-01-setting-ships-somewhere-
B03,Issue #2,52.94,23.53,2.63,-77.37,canceled,canceled,opened,feature/issue-2-us-02-alternating-shooting-wit
B03,Issue #3,24.00,0.00,0.00,0.00,success,failed,opened,feature/issue-3-us-03-ship-damage-announcing-s
B03,Issue #4,8.70,0.00,0.00,0.00,failed,skipped,opened,feature/issue-4-us-04-playing-alone-against-th
B03,Issue #5,34.78,13.04,2.63,-77.37,success,failed,opened,feature/issue-5-us-05-saving-and-restoring-the
B04,Issue #1,88.89,88.89,75.19,-4.81,success,success,valid_merge,feature/issue-1-us-01-setting-ships-somewhere-
B04,Issue #2,87.50,16.67,26.15,-49.04,success,failed,opened,feature/issue-2-us-02-alternating-shooting-wit
B04,Issue #3,90.00,27.50,72.00,-3.19,success,success,valid_merge,feature/issue-3-us-03-ship-damage-announcing-s
B04,Issue #4,75.00,37.50,80.35,8.35,success,success,valid_merge,feature/issue-4-us-04-playing-alone-against-th
B04,Issue #5,90.57,16.98,75.54,-4.81,success,success,valid_merge,feature/issue-5-us-05-saving-and-restoring-the
B05,Issue #1,60.00,40.00,3.10,-76.90,success,failed,invalid_merge,feature/issue-1-us-01-setting-ships-somewhere-
B05,Issue #2,60.00,0.00,3.10,0.00,success,failed,opened,feature/issue-2-us-02-alternating-shooting-wit
B05,Issue #3,37.50,0.00,0.00,0.00,success,failed,invalid_merge,feature/issue-3-us-03-ship-damage-announcing-s
B05,Issue #4,66.67,0.00,80.00,76.90,success,failed,opened,feature/issue-4-us-04-playing-alone-against-th
B05,Issue #5,32.14,0.00,0.00,0.00,success,failed,invalid_merge,feature/issue-5-us-05-saving-and-restoring-the
B06,Issue #1,44.83,17.24,2.94,-27.83,success,failed,opened,feature/issue-1-us-01-setting-ships-somewhere-
B06,Issue #2,40.91,0.00,0.00,0.00,success,canceled,opened,feature/issue-2-us-02-alternating-shooting-wit
B06,Issue #3,37.93,0.00,0.00,0.00,success,canceled,opened,feature/issue-3-us-03-ship-damage-announcing-s
B06,Issue #4,81.82,63.64,1.80,-21.73,canceled,canceled,opened,feature/issue-4-us-04-playing-alone-against-th
B07,Issue #1,57.14,28.57,3.05,-76.95,failed,skipped,invalid_merge,feature/issue-1-us-01-setting-ships-somewhere-
B07,Issue #2,38.46,0.00,0.00,0.00,success,canceled,opened,feature/issue-2-us-02-alternating-shooting-wit
B07,Issue #3,72.22,0.00,0.00,0.00,success,failed,opened,feature/issue-3-us-03-ship-damage-announcing-s
B07,Issue #4,69.23,0.00,0.00,0.00,success,failed,opened,feature/issue-4-us-04-playing-alone-against-th
B07,Issue #5,66.67,0.00,3.54,0.00,success,failed,invalid_merge,feature/issue-5-us-05-saving-and-restoring-the
B08,Issue #1,70.37,22.22,1.63,-10.49,success,failed,opened,feature/issue-1-us-01-setting-ships-somewhere-
B08,Issue #2,43.33,0.00,1.63,0.00,success,failed,opened,feature/issue-2-us-02-alternating-shooting-wit
B08,Issue #3,47.22,0.00,1.63,0.00,success,failed,opened,feature/issue-3-us-03-ship-damage-announcing-s
B08,Issue #4,52.46,1.64,80.00,0.00,success,failed,opened,feature/issue-4-us-04-playing-alone-against-th
B08,Issue #5,75.00,12.50,2.19,-1.73,failed,skipped,opened,feature/issue-5-us-05-saving-and-restoring-the
B09,Issue #1,66.67,27.78,3.54,-19.99,success,failed,opened,feature/issue-1-us-01-setting-ships-somewhere-
B09,Issue #2,85.71,10.20,3.03,-76.97,success,failed,opened,feature/issue-2-us-02-alternating-shooting-wit
B09,Issue #3,37.50,4.17,3.96,-76.04,success,failed,opened,feature/issue-3-us-03-ship-damage-announcing-s
B09,Issue #4,74.55,9.09,1.96,-16.22,success,failed,opened,feature/issue-4-us-04-playing-alone-against-th
B09,Issue #5,85.71,28.57,2.80,-77.20,success,failed,opened,feature/issue-5-us-05-saving-and-restoring-the
B10,Issue #1,96.15,38.46,88.93,66.71,success,success,valid_merge,feature/issue-1-us-01-setting-ships-somewhere-
B10,Issue #2,53.66,2.44,88.93,0.00,failed,skipped,opened,feature/issue-2-us-02-alternating-shooting-wit
B10,Issue #3,75.00,0.00,0.00,0.00,success,failed,no_mr,feature/issue-3-us-03-ship-damage-announcing-s
B10,Issue #4,76.67,13.33,84.11,-4.82,success,success,opened,feature/issue-4-us-04-playing-alone-against-th
B10,Issue #5,84.21,47.37,46.14,-43.13,success,failed,no_mr,feature/issue-5-us-05-saving-and-restoring-the
