Projekt,Branch/Issue,n (Pipelines),Median (min),Mittelwert (min),Stdabw (min),Min (min),Max (min)
B01,Issue #1,47,0.20,0.32,0.52,0.07,3.28
B01,Issue #2,33,0.30,3.04,15.30,0.07,88.27
B01,Issue #3,30,0.20,0.70,1.90,0.07,10.23
B01,Issue #4,38,0.20,2.05,10.08,0.07,61.78
B01,Issue #5,11,0.22,0.29,0.29,0.07,1.17
B01,Master,13,0.23,9.15,31.57,0.18,114.22
B02,Issue #1,33,0.20,3.32,17.17,0.17,98.97
B02,Issue #2,11,62.67,52.14,52.84,0.20,122.70
B02,Issue #3,19,66.80,52.19,46.94,0.07,111.62
B02,Issue #4,32,0.17,23.52,38.89,0.07,118.23
B02,Issue #5,15,0.20,0.47,0.87,0.07,3.42
B02,Master,10,0.21,0.31,0.23,0.18,0.78
B03,Issue #1,37,0.38,17.82,36.70,0.07,113.72
B03,Issue #2,21,0.17,22.50,38.99,0.05,107.12
B03,Issue #3,10,101.60,92.66,48.13,6.77,159.48
B03,Issue #4,4,95.15,81.05,45.59,14.82,119.07
B03,Issue #5,10,3.55,20.68,38.26,0.23,108.65
B03,Master,5,0.18,0.31,0.29,0.18,0.83
B04,Issue #1,18,0.20,7.02,27.87,0.18,118.67
B04,Issue #2,48,0.20,0.23,0.27,0.07,2.02
B04,Issue #3,40,0.20,4.55,19.09,0.07,99.37
B04,Issue #4,24,0.20,3.64,17.06,0.05,83.73
B04,Issue #5,53,0.20,2.80,19.06,0.07,138.92
B04,Master,16,0.21,0.97,2.75,0.18,11.25
B05,Issue #1,11,0.22,23.54,38.93,0.20,110.12
B05,Issue #2,13,12.32,42.71,52.94,0.08,119.40
B05,Issue #3,3,103.07,105.82,9.05,98.47,115.93
B05,Issue #4,20,0.20,1.02,2.81,0.07,12.50
B05,Issue #5,24,0.08,41.79,52.97,0.07,126.70
B05,Master,9,0.27,42.61,52.88,0.18,117.33
B06,Issue #1,18,6.86,41.41,51.91,0.07,148.83
B06,Issue #2,10,43.98,52.56,48.87,1.15,113.10
B06,Issue #3,17,10.80,64.79,70.39,0.98,170.65
B06,Issue #4,11,0.22,16.27,47.74,0.22,159.73
B06,Master,5,0.20,0.42,0.32,0.18,0.83
B07,Issue #1,13,3.00,38.85,55.75,0.42,175.37
B07,Issue #2,13,72.87,58.17,48.61,1.00,124.37
B07,Issue #3,13,23.98,44.21,44.68,0.93,106.63
B07,Issue #4,19,16.03,51.28,55.03,0.07,146.17
B07,Issue #5,22,74.49,67.89,49.08,0.18,162.22
B07,Master,7,0.48,11.46,29.11,0.20,77.47
B08,Issue #1,21,2.88,34.17,42.27,0.20,116.30
B08,Issue #2,15,74.30,60.58,48.25,0.07,132.67
B08,Issue #3,23,0.70,8.51,26.03,0.07,94.35
B08,Issue #4,46,0.18,15.70,37.29,0.07,117.73
B08,Issue #5,20,0.96,28.19,34.82,0.07,79.03
B08,Master,5,0.82,0.57,0.34,0.20,0.83
B09,Issue #1,14,2.56,32.71,38.62,0.20,86.37
B09,Issue #2,44,0.20,7.46,25.61,0.20,106.97
B09,Issue #3,15,11.18,45.59,56.14,0.07,128.97
B09,Issue #4,55,0.20,3.72,15.25,0.07,90.48
B09,Issue #5,18,8.64,47.08,55.27,0.20,169.78
B09,Master,5,0.18,0.47,0.52,0.18,1.38
B10,Issue #1,26,0.20,0.22,0.13,0.07,0.85
B10,Issue #2,30,10.23,25.12,39.90,0.07,134.30
B10,Issue #3,36,1.23,8.67,25.55,0.18,108.82
B10,Issue #4,30,0.49,10.68,26.32,0.18,88.03
B10,Issue #5,18,0.50,0.46,0.13,0.18,0.60
B10,Master,7,0.20,0.30,0.26,0.18,0.90
