Metric,Type,Count,Min (minutes),Max (minutes),Mean (minutes),Median (minutes),Std (minutes),Q1 (minutes),Q3 (minutes)
Issue #1,A,10,19.733666666666668,74.37383333333334,44.5764,44.958083333333335,16.187002393171603,31.715208333333333,53.698625
Issue #1,B,10,20.680999999999997,83.4005,40.39536666666666,36.400083333333335,20.46329245813489,22.852166666666665,51.419375
Issue #1,Difference (A - B),,-0.9473333333333294,-9.026666666666657,4.181033333333339,8.558,,8.863041666666668,2.2792499999999976
,,,,,,,,,
Issue #2,A,11,11.219,99.786,54.61628787878788,57.75916666666667,30.136019541137784,26.91191666666667,81.29591666666667
Issue #2,B,10,36.573166666666665,514.6933333333333,100.37994999999998,57.45266666666667,145.75243001203745,53.30683333333333,58.665125
Issue #2,Difference (A - B),,-25.354166666666664,-414.90733333333327,-45.7636621212121,0.3064999999999998,,-26.39491666666666,22.630791666666667
,,,,,,,,,
Issue #3,A,10,43.991,107.85383333333333,75.68924999999999,71.95608333333334,22.973020393933,59.610458333333334,94.12875
Issue #3,B,10,18.476666666666667,520.4071666666666,101.43629999999999,62.607416666666666,148.37197655851824,46.415,65.00770833333334
Issue #3,Difference (A - B),,25.514333333333333,-412.5533333333333,-25.74705,9.348666666666674,,13.195458333333335,29.121041666666656
,,,,,,,,,
Issue #4,A,10,4.224666666666667,69.34866666666667,45.74766666666667,48.64783333333333,19.097978202410673,45.74183333333334,54.049083333333336
Issue #4,B,10,44.61816666666667,87.12666666666668,68.84689999999999,70.46199999999999,13.665021372779426,62.769708333333334,75.84583333333333
Issue #4,Difference (A - B),,-40.3935,-17.778000000000006,-23.099233333333324,-21.814166666666658,,-17.027874999999995,-21.796749999999996
,,,,,,,,,
Issue #5,A,9,8.262333333333334,103.08066666666667,50.255500000000005,46.33983333333333,28.914738223400498,38.54333333333333,62.9905
Issue #5,B,9,9.988333333333333,144.53766666666667,60.96292592592593,49.91133333333333,41.58135934193342,42.431666666666665,76.227
Issue #5,Difference (A - B),,-1.725999999999999,-41.456999999999994,-10.707425925925925,-3.5715000000000003,,-3.8883333333333354,-13.236500000000007
,,,,,,,,,
ALL ISSUES,A,50,4.224666666666667,107.85383333333333,54.26423666666667,51.56341666666667,25.778120470532745,40.375125000000004,71.00141666666667
ALL ISSUES,B,49,9.988333333333333,520.4071666666666,74.67860204081633,56.85433333333334,95.32350848997191,44.031,68.90666666666667
ALL ISSUES,Difference (A - B),,-5.7636666666666665,-412.5533333333333,-20.41436537414966,-5.290916666666668,,-3.6558749999999947,2.0947500000000048
