Metric,Type,Count,Min,Max,Mean,Median,Std,Total
Total Branches,A,10,5.0,5.0,5.0,5.0,0.0,50.0
Total Branches,B,10,4.0,5.0,4.9,5.0,0.31622776601683794,49.0
Total Branches,Difference (A - B),,1.0,0.0,0.09999999999999964,0.0,,1.0
,,,,,,,,
Total Merges,A,10,0.0,4.0,1.9,1.5,1.3703203194062976,19.0
Total Merges,B,10,0.0,4.0,1.5,1.5,1.509230856356236,15.0
Total Merges,Difference (A - B),,0.0,0.0,0.3999999999999999,0.0,,4.0
,,,,,,,,
Valid Merges,A,10,0.0,4.0,1.3,1.0,1.4181364924121764,13.0
Valid Merges,B,10,0.0,4.0,1.0,0.0,1.4907119849998598,10.0
Valid Merges,Difference (A - B),,0.0,0.0,0.30000000000000004,1.0,,3.0
,,,,,,,,
Invalid Merges,A,10,0.0,2.0,0.6,0.0,0.8432740427115678,6.0
Invalid Merges,B,10,0.0,3.0,0.5,0.0,1.0801234497346435,5.0
Invalid Merges,Difference (A - B),,0.0,-1.0,0.09999999999999998,0.0,,1.0
,,,,,,,,
Success Rate (%),A,10,0.0,100.0,55.0,75.0,49.72144630058766,550.0
Success Rate (%),B,10,0.0,100.0,40.0,0.0,51.63977794943222,400.0
Success Rate (%),Difference (A - B),,0.0,0.0,15.0,75.0,,150.0
,,,,,,,,
Branch Success Rate (%),A,10,0.0,80.0,26.0,20.0,28.36272984824353,260.0
Branch Success Rate (%),B,10,0.0,80.0,20.0,0.0,29.814239699997195,200.0
Branch Success Rate (%),Difference (A - B),,0.0,0.0,6.0,20.0,,60.0
,,,,,,,,
Open MRs,A,0,,,,,,
Open MRs,B,0,,,,,,
Open MRs,Difference (A - B),,,,,,,
,,,,,,,,
