Type,Project,Total Branches,Total Merges,Valid Merges,Invalid Merges,No Merge,Success Rate (%),Branch Success Rate (%),Open MRs,No MR
A,A01,5,2,0,2,3.00,0.0,0.0,,
A,A02,5,1,0,1,4.00,0.0,0.0,,
A,A03,5,4,4,0,1.00,100.0,80.0,,
A,A04,5,4,2,2,1.00,50.0,40.0,,
A,A05,5,2,2,0,3.00,100.0,40.0,,
A,A06,5,1,0,1,4.00,0.0,0.0,,
A,A07,5,0,0,0,5.00,0.0,0.0,,
A,A08,5,3,3,0,2.00,100.0,60.0,,
A,A09,5,1,1,0,4.00,100.0,20.0,,
A,A10,5,1,1,0,4.00,100.0,20.0,,
B,B01,5,3,3,0,2.00,100.0,60.0,,
B,B02,5,2,2,0,3.00,100.0,40.0,,
B,B03,5,0,0,0,5.00,0.0,0.0,,
B,B04,5,4,4,0,1.00,100.0,80.0,,
B,B05,5,3,0,3,2.00,0.0,0.0,,
B,B06,4,0,0,0,4.00,0.0,0.0,,
B,B07,5,2,0,2,3.00,0.0,0.0,,
B,B08,5,0,0,0,5.00,0.0,0.0,,
B,B09,5,0,0,0,5.00,0.0,0.0,,
B,B10,5,1,1,0,4.00,100.0,20.0,,
,,,,,,,,,,
A,TOTAL,50,19,13,6,,68.42105263157895,26.0,26,5
B,TOTAL,49,15,10,5,,66.66666666666666,20.0,31,3
