Project,Type,Duration (minutes),Duration (hours),Duration (days)
A01,A,381.43943333333334,6.357323888888889,0.2648884953703704
A02,A,270.7440666666667,4.512401111111112,0.188016712962963
A03,A,209.1156,3.48526,0.14521916666666668
A04,A,267.85336666666666,4.464222777777778,0.1860092824074074
A05,A,324.21389999999997,5.4035649999999995,0.22514854166666665
A06,A,368.0119,6.133531666666667,0.25556381944444445
A07,A,374.41211666666663,6.240201944444444,0.26000841435185185
A08,A,283.6013166666667,4.726688611111112,0.19694535879629632
A09,A,307.4859333333333,5.124765555555555,0.21353189814814813
A10,A,395.67653333333334,6.594608888888889,0.27477537037037036
B01,B,288.26186666666666,4.804364444444444,0.20018185185185186
B02,B,314.5947666666667,5.2432461111111115,0.218468587962963
B03,B,336.4978333333333,5.608297222222221,0.2336790509259259
B04,B,274.90285,4.581714166666667,0.19090475694444445
B05,B,340.85883333333334,5.680980555555555,0.23670752314814816
B06,B,247.30005,4.1216675,0.17173614583333333
B07,B,332.4113,5.540188333333333,0.23084118055555555
B08,B,284.4425,4.740708333333333,0.1975295138888889
B09,B,286.2591,4.770985,0.19879104166666667
B10,B,694.0105500000001,11.566842500000002,0.4819517708333334
,,,,
SUMMARY STATISTICS,,,,
Type A Mean,A,318.2554166666667,5.304256944444445,0.22101070601851852
Type A Median,A,315.8499166666667,5.264165277777778,0.2193402199074074
Type A Std,A,61.171088308309194,1.01951813847182,0.042479922436325826
Type B Mean,B,339.953965,5.665899416666666,0.2360791423611111
Type B Median,B,301.42831666666666,5.023805277777778,0.2093252199074074
Type B Std,B,128.0286164112278,2.133810273520463,0.08890876139668598
,,,,
STATISTICAL TESTS,,,,
Mann-Whitney U statistic,,51.0,,
Mann-Whitney p-value,,0.9698499769931556,,
t-test statistic,,-0.4835862754934742,,
t-test p-value,,0.6345099567754351,,
Cohen's d (effect size),,-0.21626635699786978,,
