project,total_branches,total_pipelines,total_branches_with_master,compile_jobs_total,compile_jobs_success,compile_success_rate,test_jobs_total,test_jobs_success,test_success_rate,pipelines_canceled,pipelines_canceled_rate,pipelines_success,pipelines_success_rate,pipelines_failed,pipelines_failed_rate,total_merges,valid_merges,invalid_merges,merge_success_rate,solved_issue_rate
A01,5,72,6,72,29,40.28,72,15,20.83,38,52.78,15,20.83,19,26.39,2,0,2,0.00,0.00
A02,5,121,6,121,82,67.77,121,35,28.93,39,32.23,35,28.93,47,38.84,1,0,1,0.00,0.00
A03,5,107,6,107,86,80.37,107,57,53.27,0,0.00,57,53.27,50,46.73,4,4,0,100.00,80.00
A04,5,190,6,190,177,93.16,190,33,17.37,0,0.00,33,17.37,157,82.63,4,2,2,50.00,40.00
A05,5,179,6,179,136,75.98,179,60,33.52,36,20.11,60,33.52,83,46.37,2,2,0,100.00,40.00
A06,5,165,6,165,109,66.06,165,47,28.48,68,41.21,47,28.48,50,30.30,1,0,1,0.00,0.00
A07,5,185,6,185,81,43.78,185,22,11.89,83,44.86,22,11.89,80,43.24,0,0,0,0.00,0.00
A08,5,154,6,154,145,94.16,154,76,49.35,0,0.00,76,49.35,78,50.65,3,3,0,100.00,60.00
A09,5,211,6,211,105,49.76,211,22,10.43,87,41.23,22,10.43,102,48.34,1,1,0,100.00,20.00
A10,5,217,6,217,198,91.24,217,47,21.66,2,0.92,47,21.66,168,77.42,1,0,1,0.00,0.00
